objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100030,3.3.3,Incidencia de paludismo (por cada 100 mil habitantes),1272,1155,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100033,3r.3a,Tasa de prevalencia del VIH/SIDA entre la población de 15 a 49 años,2131,35,True,Regional,Sin desglose geográfico
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100035,3r.3b,"Mortalidad por VIH/SIDA, desglosada por sexo",2134,4620,True,Regional,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100036,3r.3.c(1),Incidencia de casos de enfermedades transmitidas por vectores,2146,1560,True,Regional,Sin desglose geográfico
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100037,3r.3.c(2),"Incidencia de casos de enfermedades transmitidas por vectores, por sexo y entidad federativa",2140,3960,True,Regional,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100044,3.3.4,"Incidencia de la hepatitis B por cada 100,000 habitantes (menores de 5 años)",2128,3465,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300010,Meta 3.3,"De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",ODS003000100045,3.3.5,"Proporción de tratamientos otorgados a casos confirmados de paludismo, para la prevención, control y eliminación de la transmisión del Plasmodium Vivax",1201,1155,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300020,Meta 3.4,"De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar",ODS003000200010,3.4.1,"Tasa de mortalidad atribuida a las enfermedades cardiovasculares, el cáncer, la diabetes o las enfermedades respiratorias crónicas",2307,178200,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300020,Meta 3.4,"De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar",ODS003000200020,3.4.2.a,Tasa de mortalidad por suicidio,2277,81840,True,Global,Desglose por entidad federativa
ODS0030,Salud y bienestar,ODS00300020,Meta 3.4,"De aquí a 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar",ODS003000200030,3.4.2.b,Número de muertes por suicidio (personas con residencia habitual fuera de México o no especificada),2280,496,True,Global,Sin desglose geográfico
